# Time series at grid cell: 100   1   1
  Time(yrs)                  Tracer                
  1.00000E-04                1.00000000000000E-01
  2.00000E-04                1.00000000000000E-01
  3.00000E-04                1.00000000000000E-01
  4.00000E-04                1.00000000000000E-01
  5.00000E-04                1.00000000000000E-01
  7.00000E-04                1.00000000000000E-01
  1.00000E-03                1.00000000000000E-01
  1.60000E-03                1.00000000000000E-01
  2.35562E-03                1.00000000000000E-01
  3.53532E-03                1.00000000000000E-01
  5.89472E-03                1.00000000000000E-01
  9.18339E-03                1.00000000000000E-01
  1.40286E-02                1.00000000000000E-01
  2.09854E-02                1.00000000000000E-01
  3.38670E-02                1.00000000000000E-01
  5.06266E-02                1.00000000000000E-01
  7.24507E-02                1.00000000000000E-01
  1.06326E-01                1.00000000000000E-01
  1.54403E-01                1.00000000000000E-01
  2.28790E-01                1.00000000000000E-01
  3.03024E-01                1.00000000000000E-01
  3.79269E-01                1.00000000000000E-01
  5.18908E-01                1.00000000000000E-01
  6.49539E-01                1.00000000000000E-01
  7.83983E-01                1.00000000000000E-01
  1.05287E+00                1.00000000000000E-01
  1.27395E+00                1.00000000000000E-01
  1.46117E+00                1.00000000000000E-01
  1.76792E+00                1.00000000000000E-01
  2.15367E+00                1.00000000000000E-01
  2.83760E+00                1.00000000000000E-01
  3.33461E+00                1.00000000000000E-01
  3.67937E+00                1.00000000000000E-01
  4.15437E+00                1.00000000000000E-01
  5.10435E+00                1.00000000000000E-01
  5.90592E+00                1.00000000000000E-01
  6.66084E+00                1.00000000000000E-01
  8.13587E+00                1.00000000000000E-01
  9.27162E+00                1.00000000000000E-01
  1.01796E+01                1.00000000000000E-01
  1.15984E+01                1.00000000000000E-01
  1.34652E+01                1.00000000000000E-01
  1.56125E+01                1.00000000000000E-01
  1.82166E+01                1.00000000000000E-01
  2.09463E+01                1.00000000000000E-01
  2.46187E+01                1.00000000000000E-01
  2.79271E+01                1.00000000000000E-01
  3.11517E+01                1.00000000000000E-01
  3.73312E+01                1.00000000000000E-01
  4.11510E+01                1.00000000000000E-01
  4.34073E+01                1.00000000000000E-01
  4.63222E+01                1.00000000000000E-01
  5.21520E+01                1.00000000000000E-01
  5.80139E+01                1.00000000000000E-01
  6.75207E+01                1.00000000000000E-01
  7.41124E+01                1.00000000000000E-01
  7.84758E+01                1.00000000000000E-01
  8.42328E+01                1.00000000000000E-01
  9.42328E+01                1.00000000000000E-01
  1.00000E+02                1.00000000000000E-01
