# Time series at grid cell:   1   1   1
  Time(yrs)                  Tracer                
  1.00000E-04                9.99996846419890E-02
  2.00000E-04                9.99993692859671E-02
  3.00000E-04                9.99990539319341E-02
  4.00000E-04                9.99987385798901E-02
  5.00000E-04                9.99984232298351E-02
  7.00000E-04                9.99977925376807E-02
  1.00000E-03                9.99968465173491E-02
  1.60000E-03                9.99949545482823E-02
  2.35562E-03                9.99925719862657E-02
  3.53532E-03                9.99888525145905E-02
  5.89472E-03                9.99814146779770E-02
  9.18339E-03                9.99710495247430E-02
  1.40286E-02                9.99557832757844E-02
  2.09854E-02                9.99338732168547E-02
  3.38670E-02                9.98933365059028E-02
  5.06266E-02                9.98406517635543E-02
  7.24507E-02                9.97721407628659E-02
  1.06326E-01                9.96660245418673E-02
  1.54403E-01                9.95158731403826E-02
  2.28790E-01                9.92846368304931E-02
  3.03024E-01                9.90549463877752E-02
  3.79269E-01                9.88201534175798E-02
  5.18908E-01                9.83938688562801E-02
  6.49539E-01                9.79983074569204E-02
  7.83983E-01                9.75945817125088E-02
  1.05287E+00                9.68003777585588E-02
  1.27395E+00                9.61561966245281E-02
  1.46117E+00                9.56168760630407E-02
  1.76792E+00                9.47495920372618E-02
  2.15367E+00                9.36839589398426E-02
  2.83760E+00                9.18694947250306E-02
  3.33461E+00                9.05890079753523E-02
  3.67937E+00                8.97186106503057E-02
  4.15437E+00                8.85521508852875E-02
  5.10435E+00                8.63413713885919E-02
  5.90592E+00                8.45580483630593E-02
  6.66084E+00                8.29474395890208E-02
  8.13587E+00                8.00381428409279E-02
  9.27162E+00                7.79282776336617E-02
  1.01796E+01                7.63197742083542E-02
  1.15984E+01                7.39798335791382E-02
  1.34652E+01                7.11671942340291E-02
  1.56125E+01                6.82397942454073E-02
  1.82166E+01                6.50761257528308E-02
  2.09463E+01                6.21217325099178E-02
  2.46187E+01                5.86816539205070E-02
  2.79271E+01                5.59454995902506E-02
  3.11517E+01                5.35701234783036E-02
  3.73312E+01                4.98227502247886E-02
  4.11510E+01                4.77637016895089E-02
  4.34073E+01                4.66281789566656E-02
  4.63222E+01                4.52795829764585E-02
  5.21520E+01                4.29577131132603E-02
  5.80139E+01                4.09276760389700E-02
  6.75207E+01                3.82231442431712E-02
  7.41124E+01                3.65768640337757E-02
  7.84758E+01                3.55745037370199E-02
  8.42328E+01                3.43805893381853E-02
  9.42328E+01                3.26073052367418E-02
  1.00000E+02                3.16709127415501E-02
